@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2,3}

@data
22,'2019/05/08 13:47:54:518',22,0.065509,0.241215,0.110894,-0.01969,-0.019693,-0.148652,-0.151161,0.069806,0.173244,0.182176,0.065509,0.241215,0.110894,-0.01969,-0.019693,-0.148652,-0.151161,0.069806,0.173244,0.182176,3
23,'2019/05/08 13:47:56:200',24,0.06799,0.178929,0.229562,0.220424,0.0101,-0.340919,-0.20222,0.059675,0.305734,0.557458,0.06799,0.178929,0.229562,0.220424,0.0101,-0.340919,-0.20222,0.059675,0.305734,0.557458,3
24,'2019/05/08 13:47:57:219',25,-0.010064,0.265946,0.823032,0.783305,0.29925,-0.121575,0.775617,0.694797,0.652783,0.60854,-0.010064,0.265946,0.823032,0.783305,0.29925,-0.121575,0.775617,0.694797,0.652783,0.60854,3
25,'2019/05/08 13:47:57:886',26,0.025861,-0.321786,0.04751,0.075972,0.092528,0.547298,0.103623,-0.329425,-0.681644,-0.525545,0.025861,-0.321786,0.04751,0.075972,0.092528,0.547298,0.103623,-0.329425,-0.681644,-0.525545,3
26,'2019/05/08 13:47:58:687',27,0.968287,-0.082263,-0.508916,-0.128489,0.904211,-0.540955,-0.182148,-0.835545,-0.843899,-0.294624,0.968287,-0.082263,-0.508916,-0.128489,0.904211,-0.540955,-0.182148,-0.835545,-0.843899,-0.294624,3
27,'2019/05/08 13:47:59:453',28,0.374001,0.130144,0.008988,0.007604,0.400191,0.166965,0.709697,0.721474,0.705536,0.738492,0.374001,0.130144,0.008988,0.007604,0.400191,0.166965,0.709697,0.721474,0.705536,0.738492,3
28,'2019/05/08 13:48:00:220',29,0.71146,0.75373,-0.073171,-0.321749,0.395441,-0.203896,0.037433,-0.204863,-0.563982,-0.290115,0.71146,0.75373,-0.073171,-0.321749,0.395441,-0.203896,0.037433,-0.204863,-0.563982,-0.290115,3
29,'2019/05/08 13:48:00:951',30,0.392914,1.389035,1.330227,0.742963,0.110017,0.014801,-0.047409,0.159194,0.011767,-0.083556,0.392914,1.389035,1.330227,0.742963,0.110017,0.014801,-0.047409,0.159194,0.011767,-0.083556,3
30,'2019/05/08 13:48:01:619',31,-0.698164,-0.658282,0.646425,0.431671,0.09187,1.071051,0.76998,0.657951,0.310545,-0.243249,-0.698164,-0.658282,0.646425,0.431671,0.09187,1.071051,0.76998,0.657951,0.310545,-0.243249,3
31,'2019/05/08 13:48:02:219',32,-1.307685,-0.045294,0.683337,0.168484,0.311393,0.188394,0.517548,0.407973,0.048043,0.337037,-1.307685,-0.045294,0.683337,0.168484,0.311393,0.188394,0.517548,0.407973,0.048043,0.337037,3
32,'2019/05/08 13:48:02:819',33,0.831405,0.331975,-0.028538,-0.321004,-0.827185,-0.022187,0.163977,0.416911,1.407756,0.516971,0.831405,0.331975,-0.028538,-0.321004,-0.827185,-0.022187,0.163977,0.416911,1.407756,0.516971,3
33,'2019/05/08 13:48:03:588',34,0.333675,0.020393,-0.414471,-0.487601,-0.450294,-0.163258,-0.020292,0.299207,0.629342,0.358059,0.333675,0.020393,-0.414471,-0.487601,-0.450294,-0.163258,-0.020292,0.299207,0.629342,0.358059,3
34,'2019/05/08 13:50:08:135',35,2.79683,-8.646106,-16.104094,12.456393,19.980623,-0.212226,-10.982646,-7.762657,-0.747544,1.979472,2.79683,-8.646106,-16.104094,12.456393,19.980623,-0.212226,-10.982646,-7.762657,-0.747544,1.979472,1
36,'2019/05/08 13:50:18:601',37,0.516069,0.929309,0.80225,-0.42771,-7.57905,-9.147778,-15.246516,23.966671,26.857481,7.463052,0.516069,0.929309,0.80225,-0.42771,-7.57905,-9.147778,-15.246516,23.966671,26.857481,7.463052,1
37,'2019/05/08 13:53:03:872',38,-1.058066,-1.430017,-0.508713,1.742272,-1.480249,-8.033592,10.791114,12.392203,1.0194,-4.733186,-1.058066,-1.430017,-0.508713,1.742272,-1.480249,-8.033592,10.791114,12.392203,1.0194,-4.733186,1
38,'2019/05/08 13:53:05:336',39,-0.030787,-0.546095,-0.047892,0.693416,3.888367,1.08616,-4.628771,-5.27261,9.586214,4.525907,-0.030787,-0.546095,-0.047892,0.693416,3.888367,1.08616,-4.628771,-5.27261,9.586214,4.525907,1
39,'2019/05/08 13:53:06:746',40,-0.184543,0.171357,0.973769,0.836933,-0.299641,1.487206,1.863761,-3.553405,-15.007073,17.900875,-0.184543,0.171357,0.973769,0.836933,-0.299641,1.487206,1.863761,-3.553405,-15.007073,17.900875,1
40,'2019/05/08 13:53:08:073',41,0.930362,0.72495,0.601772,2.434526,2.786502,-2.10013,-11.098248,7.93779,24.873531,-5.814474,0.930362,0.72495,0.601772,2.434526,2.786502,-2.10013,-11.098248,7.93779,24.873531,-5.814474,1
41,'2019/05/08 13:53:09:923',42,3.239789,-1.093565,-16.053268,6.604257,16.970011,-2.924706,-11.30407,-9.871572,-4.398001,-0.490952,3.239789,-1.093565,-16.053268,6.604257,16.970011,-2.924706,-11.30407,-9.871572,-4.398001,-0.490952,1
42,'2019/05/08 13:53:11:121',43,1.392821,1.713832,3.097179,0.004102,-4.493945,-13.593543,7.171252,16.64633,5.537652,-6.149516,1.392821,1.713832,3.097179,0.004102,-4.493945,-13.593543,7.171252,16.64633,5.537652,-6.149516,1
43,'2019/05/08 13:53:14:756',44,0.342831,0.937862,1.210017,1.670788,3.247619,-0.407894,-5.157281,-10.523894,8.111831,17.316898,0.342831,0.937862,1.210017,1.670788,3.247619,-0.407894,-5.157281,-10.523894,8.111831,17.316898,1
44,'2019/05/08 13:53:16:190',45,0.046702,-0.571311,0.598699,1.648385,-3.308092,-7.791339,9.882945,18.128532,4.333175,-9.869143,0.046702,-0.571311,0.598699,1.648385,-3.308092,-7.791339,9.882945,18.128532,4.333175,-9.869143,1
45,'2019/05/08 13:53:18:956',46,1.687081,0.37082,1.182079,0.691725,-0.265041,-1.630683,-9.996446,4.316248,23.025131,6.468268,1.687081,0.37082,1.182079,0.691725,-0.265041,-1.630683,-9.996446,4.316248,23.025131,6.468268,1
46,'2019/05/08 13:53:20:090',47,1.319281,1.233412,2.032407,2.010032,1.667285,-2.486449,-4.505022,-21.849728,5.783513,34.879574,1.319281,1.233412,2.032407,2.010032,1.667285,-2.486449,-4.505022,-21.849728,5.783513,34.879574,1
