@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
22,'2019/04/30 13:05:42:200',18,0.575086,0.740633,1.02203,1.026057,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,0.575086,0.740633,1.02203,1.026057,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,3
23,'2019/04/30 13:05:42:200',18,0.740633,1.02203,1.026057,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,0.740633,1.02203,1.026057,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,3
24,'2019/04/30 13:05:42:200',18,1.02203,1.026057,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,1.02203,1.026057,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,3
25,'2019/04/30 13:05:42:201',18,1.026057,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,1.026057,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,3
26,'2019/04/30 13:05:42:201',18,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,0.560193,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,3
27,'2019/04/30 13:05:42:201',18,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,0.32511,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,3
28,'2019/04/30 13:05:42:201',18,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,-0.470607,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,3
29,'2019/04/30 13:05:42:219',18,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,-0.470607,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,3
30,'2019/04/30 13:05:42:238',18,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.8969,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,3
31,'2019/04/30 13:05:42:254',18,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.539118,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,3
32,'2019/04/30 13:05:42:276',18,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.206456,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,3
33,'2019/04/30 13:05:42:304',18,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,-0.443762,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,3
34,'2019/04/30 13:05:42:305',18,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,-0.300913,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,3
35,'2019/04/30 13:05:42:320',18,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.169903,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,3
36,'2019/04/30 13:05:42:337',18,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,1.159945,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,3
37,'2019/04/30 13:05:42:355',18,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,1.40143,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,3
38,'2019/04/30 13:05:42:373',18,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,1.359374,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,3
39,'2019/04/30 13:05:42:389',18,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.63863,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,3
40,'2019/04/30 13:05:42:406',18,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,-0.0534,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,3
41,'2019/04/30 13:05:42:423',18,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,-0.379685,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,3
42,'2019/04/30 13:05:42:441',18,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,-0.119527,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,3
43,'2019/04/30 13:05:42:458',18,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.573048,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,3
44,'2019/04/30 13:05:42:488',18,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.41531,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,3
45,'2019/04/30 13:05:42:488',18,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.008684,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,3
46,'2019/04/30 13:05:42:506',18,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,-0.185649,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,3
47,'2019/04/30 13:05:42:523',18,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,-0.420675,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,3
48,'2019/04/30 13:05:42:541',18,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.154951,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,3
49,'2019/04/30 13:05:42:558',18,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,0.114203,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,3
50,'2019/04/30 13:05:42:576',18,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,0.743562,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,3
51,'2019/04/30 13:05:42:612',18,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.829076,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,3
52,'2019/04/30 13:05:42:612',18,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.535778,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,3
53,'2019/04/30 13:05:42:639',18,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,0.377419,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,3
54,'2019/04/30 13:05:42:639',18,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,0.28061,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,3
55,'2019/04/30 13:05:42:659',18,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,0.203079,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,3
56,'2019/04/30 13:05:42:787',18,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.476058,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,3
57,'2019/04/30 13:05:42:787',18,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.307902,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,3
58,'2019/04/30 13:05:42:787',18,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,-0.294106,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,3
59,'2019/04/30 13:05:42:787',18,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.394026,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,3
60,'2019/04/30 13:05:42:787',18,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.201912,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,3
61,'2019/04/30 13:05:42:805',18,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.185065,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,3
62,'2019/04/30 13:05:42:805',18,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,0.704993,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,3
63,'2019/04/30 13:05:42:805',18,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,1.715262,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,3
64,'2019/04/30 13:05:42:805',18,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,1.357363,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,3
65,'2019/04/30 13:05:42:825',18,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,1.211871,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,3
66,'2019/04/30 13:05:42:842',18,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.746734,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,3
67,'2019/04/30 13:05:42:869',18,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.668336,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,3
68,'2019/04/30 13:05:42:869',18,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.065812,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,3
69,'2019/04/30 13:05:42:892',18,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,-0.181589,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,3
70,'2019/04/30 13:05:42:910',18,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,-0.069335,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,3
71,'2019/04/30 13:05:42:927',18,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,0.05113,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,3
72,'2019/04/30 13:05:42:943',18,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,-0.455457,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,3
73,'2019/04/30 13:05:42:960',18,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,0.42575,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,3
74,'2019/04/30 13:05:42:978',18,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,-0.076722,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,3
75,'2019/04/30 13:05:42:996',18,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,0.11396,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,3
76,'2019/04/30 13:05:43:013',18,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.275424,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,3
77,'2019/04/30 13:05:43:029',18,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.625418,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,3
78,'2019/04/30 13:05:43:048',18,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,0.96777,0.994161,1.097372,1.018163,1.115018,1.330175,0.131812,-0.013502,0.095363,0.294616,3
